STATE,longitude,latitude,wind_speed (m/s),distance_to_seashore (km),elevation (m),temperature (C),humidity (%),air_density (kg/m^3),,
JAMMU AND KASHMIR,75.81577994,34.45674782,5.4057374,1339.35001,3798,21,65,1.12,,
JAMMU AND KASHMIR,76.79510838,33.47949654,4.9437666,1293.852416,4303,21,65,1.12,,
JAMMU AND KASHMIR,75.43966703,34.39144109,3.78182,1319.563054,4338,21,65,1.12,,
JAMMU AND KASHMIR,75.79357894,34.12263979,8.870201,1304.484655,5037,21,65,1.12,,
JAMMU AND KASHMIR,77.46023019,32.81930692,3.263829,1246.270083,4624,21,65,1.12,,
JAMMU AND KASHMIR,76.59367126,33.58524823,8.518707,1299.334511,5581,21,65,1.12,,
JAMMU AND KASHMIR,76.68497443,33.48551194,6.921151,1291.372698,5199,21,65,1.12,,
JAMMU AND KASHMIR,75.45869109,34.51712499,3.7869701,1333.179858,4081,21,65,1.12,,
JAMMU AND KASHMIR,75.80714076,34.42586933,4.528658,1335.886372,3069,21,65,1.12,,
JAMMU AND KASHMIR,77.18948506,32.91968755,7.318989,1247.428044,5317,21,65,1.12,,
JAMMU AND KASHMIR,76.4071979,34.12113814,5.5047393,1328.050978,5161,21,65,1.12,,
JAMMU AND KASHMIR,76.63338106,33.8598264,7.079974,1329.546456,5182,21,65,1.12,,
JAMMU AND KASHMIR,76.96733719,33.61685529,2.5575986,1313.328513,3922,21,65,1.12,,
JAMMU AND KASHMIR,76.06575135,34.08789627,5.0387354,1311.219096,4033,21,65,1.12,,
JAMMU AND KASHMIR,77.15922744,33.23027883,5.3286657,1278.759248,4284,21,65,1.12,,
JAMMU AND KASHMIR,76.32821182,33.80228676,6.3094044,1293.096182,5112,21,65,1.12,,
JAMMU AND KASHMIR,77.08543238,33.81095342,3.7944593,1337.225667,4641,21,65,1.12,,
JAMMU AND KASHMIR,75.43672893,34.54349189,8.517853,1335.17276,4790,21,65,1.12,,
JAMMU AND KASHMIR,76.56926239,33.64401863,3.9462054,1304.913792,4613,21,65,1.12,,
JAMMU AND KASHMIR,77.25878269,32.91987319,6.639003,1249.746448,5014,21,65,1.12,,
JAMMU AND KASHMIR,75.94359122,34.44151026,4.999648,1342.430299,4022,21,65,1.12,,
JAMMU AND KASHMIR,75.9627823,34.25780595,3.51901,1324.484738,3142,21,65,1.12,,
JAMMU AND KASHMIR,76.29070517,34.17584883,8.290282,1328.850303,5144,21,65,1.12,,
JAMMU AND KASHMIR,77.09741375,33.50926373,3.3569803,1305.945091,4932,21,65,1.12,,
JAMMU AND KASHMIR,77.11312875,32.89286832,10.098599,1242.143392,5602,21,65,1.12,,
JAMMU AND KASHMIR,76.7898898,33.37705853,2.9650142,1282.898607,5230,21,65,1.12,,
JAMMU AND KASHMIR,75.62171762,34.32943813,6.3142657,1319.440848,4194,21,65,1.12,,
JAMMU AND KASHMIR,76.8252631,33.81171154,2.3657765,1329.7933,3943,21,65,1.12,,
JAMMU AND KASHMIR,76.31970315,34.11902962,5.3397536,1324.319216,4996,21,65,1.12,,
JAMMU AND KASHMIR,76.32393854,33.91369483,2.4718814,1304.003201,4170,21,65,1.12,,
JAMMU AND KASHMIR,77.31994165,33.39472969,7.3438764,1301.039581,5056,21,65,1.12,,
JAMMU AND KASHMIR,77.00510671,33.63806286,3.2678607,1316.674754,4004,21,65,1.12,,
JAMMU AND KASHMIR,75.9844011,34.04591855,5.888143,1303.861749,4251,21,65,1.12,,
JAMMU AND KASHMIR,76.17887498,34.36204401,4.4653673,1343.204694,4106,21,65,1.12,,
JAMMU AND KASHMIR,77.27801112,32.86634593,5.1090875,1244.850669,5294,21,65,1.12,,
JAMMU AND KASHMIR,76.31431882,33.51102927,3.566927,1284.106422,4750,21,65,1.12,,
JAMMU AND KASHMIR,76.68913821,33.4359783,7.1417937,1286.250029,5039,21,65,1.12,,
JAMMU AND KASHMIR,77.42821269,33.4592592,4.3881903,1311.276697,4611,21,65,1.12,,
JAMMU AND KASHMIR,76.40829172,33.80027202,5.9071717,1317.34896,5037,21,65,1.12,,
JAMMU AND KASHMIR,75.81179785,34.02450203,7.742303,1295.184832,4725,21,65,1.12,,
JAMMU AND KASHMIR,77.32442902,33.71908602,5.2569866,1334.963153,4414,21,65,1.12,,
JAMMU AND KASHMIR,75.9980701,34.42591037,5.832179,1342.852735,3737,21,65,1.12,,
JAMMU AND KASHMIR,77.39144067,33.45570023,10.948525,1309.701163,5643,21,65,1.12,,
JAMMU AND KASHMIR,75.6727483,34.40034963,8.029131,1328.502804,3801,21,65,1.12,,
JAMMU AND KASHMIR,77.36218247,33.51426353,4.7673955,1314.83529,5032,21,65,1.12,,
JAMMU AND KASHMIR,75.84310441,34.01077077,7.5904574,1294.960176,5454,21,65,1.12,,
JAMMU AND KASHMIR,76.75219292,33.25524552,10.075752,1268.966395,5521,21,65,1.12,,
